wavelet_type,wavelet_short,image_size,level,accuracy,f_measure_macro,f_measure_abnormal
three_wavelets_1_subband,3W-1S,32x32,Lv1,0.9814,0.9811,0.9788
one_wavelet_4_subbands,1W-4S,32x32,Lv1,0.9728,0.9724,0.9692
one_wavelet_1_subband,1W-1S,32x32,Lv1,0.9687,0.9683,0.9645
three_wavelets_1_subband,3W-1S,60x60,Lv1,0.9836,0.9835,0.9818
three_wavelets_1_subband,3W-1S,60x60,Lv2,0.9898,0.9897,0.9886
one_wavelet_4_subbands,1W-4S,60x60,Lv1,0.9867,0.9865,0.9852
one_wavelet_4_subbands,1W-4S,60x60,Lv2,0.9889,0.9887,0.9875
one_wavelet_1_subband,1W-1S,60x60,Lv1,0.9930,0.9929,0.9921
one_wavelet_1_subband,1W-1S,60x60,Lv2,0.9387,0.9379,0.9310
three_wavelets_1_subband,3W-1S,116x116,Lv1,0.9915,0.9915,0.9908
three_wavelets_1_subband,3W-1S,116x116,Lv2,0.9679,0.9677,0.9654
three_wavelets_1_subband,3W-1S,116x116,Lv3,0.9662,0.9659,0.9628
one_wavelet_4_subbands,1W-4S,116x116,Lv1,0.9744,0.9743,0.9726
one_wavelet_4_subbands,1W-4S,116x116,Lv2,0.9723,0.9722,0.9706
one_wavelet_4_subbands,1W-4S,116x116,Lv3,0.9814,0.9813,0.9801
one_wavelet_1_subband,1W-1S,116x116,Lv1,0.9842,0.9841,0.9829
one_wavelet_1_subband,1W-1S,116x116,Lv2,0.9732,0.9730,0.9710
one_wavelet_1_subband,1W-1S,116x116,Lv3,0.9433,0.9426,0.9363
three_wavelets_1_subband,3W-1S,228x228,Lv1,0.9896,0.9896,0.9892
three_wavelets_1_subband,3W-1S,228x228,Lv2,0.9461,0.9458,0.9414
three_wavelets_1_subband,3W-1S,228x228,Lv3,0.9764,0.9763,0.9754
three_wavelets_1_subband,3W-1S,228x228,Lv4,0.9726,0.9726,0.9714
one_wavelet_4_subbands,1W-4S,228x228,Lv1,0.9827,0.9827,0.9821
one_wavelet_4_subbands,1W-4S,228x228,Lv2,0.9787,0.9787,0.9779
one_wavelet_4_subbands,1W-4S,228x228,Lv3,0.9660,0.9660,0.9648
one_wavelet_4_subbands,1W-4S,228x228,Lv4,0.9291,0.9288,0.9237
one_wavelet_1_subband,1W-1S,228x228,Lv1,0.9836,0.9836,0.9831
one_wavelet_1_subband,1W-1S,228x228,Lv2,0.9729,0.9729,0.9715
one_wavelet_1_subband,1W-1S,228x228,Lv3,0.9605,0.9605,0.9597
one_wavelet_1_subband,1W-1S,228x228,Lv4,0.9594,0.9593,0.9579
three_wavelets_1_subband,3W-1S,452x452,Lv1,0.9840,0.9840,0.9834
three_wavelets_1_subband,3W-1S,452x452,Lv2,0.9635,0.9634,0.9617
three_wavelets_1_subband,3W-1S,452x452,Lv3,0.9857,0.9857,0.9853
three_wavelets_1_subband,3W-1S,452x452,Lv4,0.9817,0.9817,0.9810
three_wavelets_1_subband,3W-1S,452x452,Lv5,0.9857,0.9857,0.9851
one_wavelet_4_subbands,1W-4S,452x452,Lv1,0.9823,0.9823,0.9817
one_wavelet_4_subbands,1W-4S,452x452,Lv2,0.9869,0.9869,0.9865
one_wavelet_4_subbands,1W-4S,452x452,Lv3,0.9789,0.9789,0.9782
one_wavelet_4_subbands,1W-4S,452x452,Lv4,0.9772,0.9772,0.9767
one_wavelet_4_subbands,1W-4S,452x452,Lv5,0.9715,0.9714,0.9703
one_wavelet_1_subband,1W-1S,452x452,Lv1,0.9846,0.9846,0.9843
one_wavelet_1_subband,1W-1S,452x452,Lv2,0.9538,0.9535,0.9503
one_wavelet_1_subband,1W-1S,452x452,Lv3,0.9880,0.9880,0.9877
one_wavelet_1_subband,1W-1S,452x452,Lv4,0.9458,0.9457,0.9440
one_wavelet_1_subband,1W-1S,452x452,Lv5,0.9366,0.9365,0.9331
