wavelet_type,image_size,level,accuracy,f_measure_macro,f_measure_abnormal,model_path,test_data_path,eval_json_path
three_wavelets_1_subband,32x32,Lv1,0.9814,0.9811,0.9788,models\table2\three_wavelets_1_subband_32x32_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_32x32_lv1.npy,results\table2_eval\three_wavelets_1_subband_32x32_lv1.json
one_wavelet_4_subbands,32x32,Lv1,0.9728,0.9724,0.9692,models\table2\one_wavelet_4_subbands_32x32_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_32x32_lv1.npy,results\table2_eval\one_wavelet_4_subbands_32x32_lv1.json
one_wavelet_1_subband,32x32,Lv1,0.9687,0.9683,0.9645,models\table2\one_wavelet_1_subband_32x32_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_32x32_lv1.npy,results\table2_eval\one_wavelet_1_subband_32x32_lv1.json
three_wavelets_1_subband,60x60,Lv1,0.9836,0.9835,0.9818,models\table2\three_wavelets_1_subband_60x60_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_60x60_lv1.npy,results\table2_eval\three_wavelets_1_subband_60x60_lv1.json
one_wavelet_4_subbands,60x60,Lv1,0.9867,0.9865,0.9852,models\table2\one_wavelet_4_subbands_60x60_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_60x60_lv1.npy,results\table2_eval\one_wavelet_4_subbands_60x60_lv1.json
one_wavelet_1_subband,60x60,Lv1,0.9930,0.9929,0.9921,models\table2\one_wavelet_1_subband_60x60_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_60x60_lv1.npy,results\table2_eval\one_wavelet_1_subband_60x60_lv1.json
three_wavelets_1_subband,60x60,Lv2,0.9898,0.9897,0.9886,models\table2\three_wavelets_1_subband_60x60_lv2_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_60x60_lv2.npy,results\table2_eval\three_wavelets_1_subband_60x60_lv2.json
one_wavelet_4_subbands,60x60,Lv2,0.9889,0.9887,0.9875,models\table2\one_wavelet_4_subbands_60x60_lv2_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_60x60_lv2.npy,results\table2_eval\one_wavelet_4_subbands_60x60_lv2.json
one_wavelet_1_subband,60x60,Lv2,0.9387,0.9379,0.9310,models\table2\one_wavelet_1_subband_60x60_lv2_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_60x60_lv2.npy,results\table2_eval\one_wavelet_1_subband_60x60_lv2.json
three_wavelets_1_subband,116x116,Lv1,0.9915,0.9915,0.9908,models\table2\three_wavelets_1_subband_116x116_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_116x116_lv1.npy,results\table2_eval\three_wavelets_1_subband_116x116_lv1.json
one_wavelet_4_subbands,116x116,Lv1,0.9744,0.9743,0.9726,models\table2\one_wavelet_4_subbands_116x116_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_116x116_lv1.npy,results\table2_eval\one_wavelet_4_subbands_116x116_lv1.json
one_wavelet_1_subband,116x116,Lv1,0.9842,0.9841,0.9829,models\table2\one_wavelet_1_subband_116x116_lv1_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_1_subband_116x116_lv1.npy,results\table2_eval\one_wavelet_1_subband_116x116_lv1.json
three_wavelets_1_subband,116x116,Lv2,0.9679,0.9677,0.9654,models\table2\three_wavelets_1_subband_116x116_lv2_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_three_wavelets_1_subband_116x116_lv2.npy,results\table2_eval\three_wavelets_1_subband_116x116_lv2.json
one_wavelet_4_subbands,116x116,Lv2,0.9723,0.9722,0.9706,models\table2\one_wavelet_4_subbands_116x116_lv2_tow-ids_model.h5,test_wavelet_transformed_data\table2\layered_test_one_wavelet_4_subbands_116x116_lv2.npy,results\table2_eval\one_wavelet_4_subbands_116x116_lv2.json
